feature_name,importance_x,importance_y,importance
样本id_difference,788.2173970858566,817.1258350200951,798.2896780739538
A1_difference,0.9288386926054955,0.3762792032212019,0.8421360999345779
A2_difference,11.216313127428293,19.23982875328511,17.570385415107012
A3_difference,28.662858244031668,26.845751479268074,29.30598608031869
A4_difference,3.0293731559067965,2.7772886138409376,1.6456541996449232
A5_difference,156.5265473127365,151.75816616555676,152.9366801949218
A6_difference,192.68179329345003,194.20369501272216,194.26870977133512
A7_difference,155.08638624241576,155.5289104161784,155.50827886117622
A8_difference,23.876292450819165,24.581441815942526,22.247854059562087
A9_difference,264.23874304722995,239.51439225301147,258.6410507876426
A10_difference,370.38785528810695,399.28403745405376,369.61757173622027
A11_difference,210.14599839039147,194.3574782544747,201.9312106454745
A12_difference,43.974938522093,46.12065702676773,46.707393237389624
A13_difference,4.313044974114746,2.095523227006197,3.569036955013871
A14_difference,87.41656968556345,83.8488317457959,82.1095255408436
A15_difference,55.12168063502759,53.100987188052386,53.8154913992621
A16_difference,69.61150603648275,68.96356510231271,66.4869267931208
A17_difference,104.65006653312594,111.43438602471724,106.63901447877288
A18_difference,0.2898943917825818,1.0039185266941786,0.425359052605927
A19_difference,72.30598021065816,65.08933256939054,60.242877126671374
A20_difference,69.27436366165057,58.39561029803008,59.12648487696424
A21_difference,148.8369983388111,143.1646080762148,143.7334573082626
A22_difference,123.96134976111352,121.4975841389969,126.67498423391953
A23_difference,6.161860045976937,6.524801200255752,6.456876384560019
A24_difference,68.02123258030042,62.63590893056244,63.43564601382241
A25_difference,501.2213201103732,474.39500766340643,482.8523443429731
A26_difference,29.17629544995725,34.65521701518446,29.037690030410886
A27_difference,206.12622782588005,196.6418117089197,206.5584701579064
A28_difference,64.36462116194889,64.42434663232416,61.223134501837194
B1_difference,362.8190723238513,357.93408865481615,355.1560802925378
B2_difference,22.84452490787953,20.074209454469383,18.60510087199509
B3_difference,8.693350275978446,8.792219562456012,8.718462753109634
B4_difference,91.44821731373668,93.95229585235938,84.0116642229259
B5_difference,54.11879912065342,57.94114374322817,57.18162287538871
B6_difference,509.20763594377786,527.9834134327248,509.37429393595085
B7_difference,83.18321792967618,88.33600257243961,80.21816135570407
B8_difference,80.98788450565189,77.8000027872622,77.80380525579676
B9_difference,1254.1756922751665,1269.9531807252206,1306.548342010472
B10_difference,2554.0690622283146,2511.8788723987527,2474.086956011597
B11_difference,10503.622330655344,10569.87926520221,10536.697661553044
B12_difference,1553.144345453009,1526.6584553485736,1580.7682604896836
B13_difference,47.99687198270112,49.102523267269135,46.03026981558651
B14_difference,38085.36457636859,38167.304384651594,38189.08576848917
样本id,5275.693574446719,5242.180652058218,5300.972136993427
A1,0.0,0.0,0.0
A2,19.23902390524745,14.918558579869568,14.845958853140473
A3,2.288902595639229,3.649479513987899,3.8004055405035615
A4,0.5937541807070374,0.15616974234580994,0.3491845102980733
A5,212.3551779864356,231.11799275875092,217.86246227100492
A6,314.2866448778659,316.9679462071508,338.6485892571509
A7,41.352263565175235,38.74562168866396,41.83086041454226
A8,5.956412763334811,6.318145578727126,4.677975949831307
A9,756.7758198538795,708.9987304322422,741.8472474645823
A10,509.00535624474287,499.13367773965,498.6702001057565
A11,190.69002257473767,193.5549927726388,196.1862837318331
A12,205.20643357839435,207.33158595487475,202.497943517752
A13,0.0,0.0,0.0
A14,69.37178443465382,70.20972291799262,64.67213674262166
A15,241.69448865484446,269.751142940484,246.3591899909079
A16,126.04477962013334,155.66795465629548,142.65951163042337
A17,162.78004051651806,164.61079199053347,160.45975644420832
A18,0.0,0.0,0.0
A19,81.23491850495338,85.09415260050446,79.49217917118222
A20,59.83720359019935,60.19478781055659,63.833944123238325
A21,92.21717251325026,96.12396718421951,97.62549511902034
A22,46.94666223600507,56.98384289164096,48.76402331516147
A23,0.2077975212596357,0.16258049756288528,0.19694539532065392
A24,148.02918907394633,157.81334137311205,160.3459039744921
A25,127.58845850173384,128.50868986546993,140.72693551145494
A26,142.1577999717556,125.32938132062554,111.94837433751673
A27,132.5871601756662,133.41684822319075,133.36696871556342
A28,53.766252839937806,54.366756016388535,56.433337724767625
B1,84.7903547398746,80.41958229895681,103.34700051462278
B2,2.8681212896481156,4.299425213597715,3.917003693059087
B3,0.30870100390166044,0.616145346313715,0.1579468408599496
B4,38.77204132126644,43.633231084793806,39.24088686751202
B5,154.286197966896,171.01717492379248,147.8329502651468
B6,466.9984544813633,457.7389160944149,501.0663547758013
B7,295.16879981197417,278.2365597495809,275.51794113218784
B8,41.05218094913289,40.040704301558435,39.82438780833036
B9,360.0224943133071,369.4153864942491,356.76298813382164
B10,289.9564890181646,283.29963720962405,285.8047997793183
B11,1216.788890721742,1230.7073638411239,1213.1837718421593
B12,190.85132981743664,190.8617310449481,188.10048953350633
B13,4.454093345440924,5.915629858151078,3.579583117738366
B14,4445.990261239,4453.920489937998,4452.268173838034
